MeetID,Name,Sex,Division,BodyweightKg,WeightClassKg,WeightClass,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Place,Wilks
7021,Briana Duval,Female,R-O,60.2,63,4: 63kg,115,70,152.5,337.5,45,375.31
7021,Christina Myers,Female,R-O,60.3,63,4: 63kg,127.5,65,142.5,335,46,372.05
7021,Montana Meleney,Female,R-O,61.8,63,4: 63kg,110,70,150,330,47,359.63
7021,Jenna Richardson,Female,R-O,62.7,63,4: 63kg,112.5,72.5,145,330,48,355.69
7021,Laurie Gooden,Female,R-O,62.9,63,4: 63kg,105,82.5,142.5,330,49,354.83
7021,Melis Papila,Female,R-O,62.4,63,4: 63kg,107.5,57.5,142.5,307.5,50,332.65
7021,Linda Chan,Female,R-O,61.8,63,4: 63kg,147.5,,162.5,,DQ,
7021,Ahnjoulie DeBoyes,Female,R-O,62,63,4: 63kg,,70,127.5,,DQ,
7021,Genevieve Betro,Female,R-O,62.3,63,4: 63kg,,75,152.5,,DQ,
7021,Elena Marquez,Female,R-T1,61.8,63,4: 63kg,115,50,125,290,1,316.04
7021,Megan Wesolek,Female,R-T1,60.4,63,4: 63kg,100,47.5,102.5,250,2,277.29
7021,Kendra Trewyn,Female,R-T1,59.1,63,4: 63kg,85,45,107.5,237.5,3,267.91
7021,Sara Mittman,Female,R-T1,62.9,63,4: 63kg,75,40,90,205,4,220.43
7021,Brianna Mott,Female,R-T1,60.3,63,4: 63kg,65,37.5,80,182.5,5,202.68
7021,Jennica Baldridge,Female,R-T2,61.8,63,4: 63kg,130,76,166,372,1,405.4
7021,Remington Trewyn,Female,R-T2,59.7,63,4: 63kg,100,57.5,115,272.5,2,304.99
7021,Casey Martinez,Female,R-T2,59.8,63,4: 63kg,,35,100,,DQ,
