MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
7015,usapl/NS-2015-06,USAPL,10/15/2015,USA,,,2015 Raw Nationals
7021,usapl/NS-2016-04,USAPL,10/13/2016,USA,GA,Atlanta,Raw Nationals 2016
7028,usapl/NS-2017-02,USAPL,10/10/2017,USA,FL,Orlando,2017 Raw National Championships
